Activité,Prix (EUR)
Massage relaxant,50
Massage sportif,60
Soin du visage,40
Masque et tuba,30
Stand-up paddle,25
Kayak,20
Excursion en bateau,70
Plongée sous-marine,100
Randonnée guidée,15
Cours de yoga,20
Visite de marché local,10
Atelier de cuisine,35
Safari photo,80
Balade à vélo,15
Cours de surf,45
Visite de la ville,25
Atelier d'artisanat,30
Pêche en haute mer,90
Dîner traditionnel,40
Soirée culturelle,25
Observations d'oiseaux,20
Excursion en 4x4,85
Plongée avec les requins,120
Massage en couple,100
Visite de vignoble,50
Atelier de danse,30
Cours de photographie,40
Excursion en kayak de mer,50
Visite de ruines historiques,20
Atelier de peinture,30
